cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
32122518#0,,,,,,,,
-463284093#3,,,,,,,,
52518334#0,,,,,,,,
130453217#0,,,,,,,,
277789325#7,,,,,,,,
264459819#1,,,,,,,,
-736550490#1,,,,,,,,
543054885#0,,,,,,,,
682262110#0,,,,,,,,
32122515#2,,,,,,,,
31958280#0,,,,,,,,
512747171,,,,,,,,
-91854839#0,,,,,,,,
-264459849,,,,,,,,
89419196#1,,,,,,,,
-264459845#1,,,,,,,,
-1021351340#2,,,,,,,,
-264459843#5,,,,,,,,
544270675#2,,,,,,,,
89828152#0,,,,,,,,
-463284095#4,,,,,,,,
-576811475#0,,,,,,,,
-686373007,,,,,,,,
89430677#1,,,,,,,,
46982301#2,,,,,,,,
517820536#0,,,,,,,,
-458673382#5,,,,,,,,
544270675#0,,,,,,,,
46982270#1,,,,,,,,
48391239#0,,,,,,,,
81606324#0,,,,,,,,
-683454880,,,,,,,,
464000322#0,,,,,,,,
-23260460#2,,,,,,,,
-89234350#1,,,,,,,,
580672561,,,,,,,,
546231958,,,,,,,,
173022744#1,,,,,,,,
-264459843#3,,,,,,,,
34951153#1,,,,,,,,
1039905092#1,,,,,,,,
89213772#5,,,,,,,,
164586351,,,,,,,,
-91854839#1,,,,,,,,
-91216434#3,,,,,,,,
33050417,,,,,,,,
301494971#0,,,,,,,,
-264459825#5,,,,,,,,
796186460#1,,,,,,,,
-458673383#0,,,,,,,,
328531828#4,,,,,,,,
199311757#3,,,,,,,,
34951053#1,,,,,,,,
-89828152#2,,,,,,,,
328531802#5,,,,,,,,
58706164#1,,,,,,,,
33549498#2,,,,,,,,
178757944#1,,,,,,,,
178757953,,,,,,,,
458283475#0,,,,,,,,
543023529#0,,,,,,,,
328531790#8,,,,,,,,
-41519052,,,,,,,,
91854877#0,,,,,,,,
23260462#1,,,,,,,,
33549498#0,,,,,,,,
459037937#0,,,,,,,,
258303757#3,,,,,,,,
-170598722#0,,,,,,,,
89430677#0,,,,,,,,
-24024046#3,,,,,,,,
41519038#3,,,,,,,,
149415578,,,,,,,,
134668783#0,,,,,,,,
34951236#1,,,,,,,,
89430682#3,,,,,,,,
34950844#2,,,,,,,,
53208159#0,,,,,,,,
55686195#0,,,,,,,,
89430685#0,,,,,,,,
-89419992#0,,,,,,,,
463284095#2,,,,,,,,
-458673382#6,,,,,,,,
-89418363,,,,,,,,
544442193,,,,,,,,
199311794#10,,,,,,,,
32122518#2,,,,,,,,
33625005#3,,,,,,,,
544340291#0,,,,,,,,
280266451#0,,,,,,,,
34950728#3,,,,,,,,
-91854811,,,,,,,,
32122518#1,,,,,,,,
33627771#0,,,,,,,,
244317039#0,,,,,,,,
458673382#2,,,,,,,,
-264459822,,,,,,,,
264459842#11,,,,,,,,
-265271575#1,,,,,,,,
32130422#0,,,,,,,,
1127706328#1,,,,,,,,
1133878589#2,,,,,,,,
-1021407861#1,,,,,,,,
636894188#1,,,,,,,,
178757956#1,,,,,,,,
-23443416#4,,,,,,,,
1042122376#0,,,,,,,,
89418354#0,,,,,,,,
-85568111#1,,,,,,,,
89430683#1,,,,,,,,
-91854814,,,,,,,,
-89419197,,,,,,,,
86867128#3,,,,,,,,
-682262619#1,,,,,,,,
89240073#4,,,,,,,,
544342030#1,,,,,,,,
1177605681#3,,,,,,,,
-1021351340#4,,,,,,,,
-91854885#2,,,,,,,,
46982284#0,,,,,,,,
-518843396,,,,,,,,
91854872,,,,,,,,
549451720,,,,,,,,
1021351340#0,,,,,,,,
328531828#0,,,,,,,,
24024046#1,,,,,,,,
89234087#1,,,,,,,,
193618812#15,,,,,,,,
72463466#0,,,,,,,,
513567595,,,,,,,,
46982423#0,,,,,,,,
228766720#0,,,,,,,,
46982423#1,,,,,,,,
543209655#1,,,,,,,,
89418364#0,,,,,,,,
34998006#2,,,,,,,,
-89420431#2,,,,,,,,
-89240082#2,,,,,,,,
1177605681#0,,,,,,,,
228766720#1,,,,,,,,
89420435#0,,,,,,,,
58706164#0,,,,,,,,
-47072157#0,,,,,,,,
301494973#2,,,,,,,,
-55686075#4,,,,,,,,
31887176,,,,,,,,
46982301#7,,,,,,,,
584343267#2,,,,,,,,
-543054885#0,,,,,,,,
328531782#0,,,,,,,,
-91854875#2,,,,,,,,
536520674,,,,,,,,
-89240074#0,,,,,,,,
34951154,,,,,,,,
-571930272,,,,,,,,
89430685#1,,,,,,,,
-89419196#1,,,,,,,,
72463851#1,,,,,,,,
178757945#0,,,,,,,,
460851984#7,,,,,,,,
89185075#0,,,,,,,,
85568120#7,,,,,,,,
48788423#3,,,,,,,,
460851984#3,,,,,,,,
228056313,,,,,,,,
458283475#2,,,,,,,,
458283475#5,,,,,,,,
328531828#2,,,,,,,,
544340291#2,,,,,,,,
81606324#1,,,,,,,,
543054883,,,,,,,,
149415593#0,,,,,,,,
463284094#4,,,,,,,,
89420434,,,,,,,,
55686236#1,,,,,,,,
-91854866,,,,,,,,
52518334#1,,,,,,,,
-34951153#1,,,,,,,,
91854874,,,,,,,,
220470668#1,,,,,,,,
536082140,,,,,,,,
89430684#2,,,,,,,,
517927340#1,,,,,,,,
33050420,,,,,,,,
-89234350#3,,,,,,,,
23260460#0,,,,,,,,
264459843#7,,,,,,,,
181579860,,,,,,,,
91854877#2,,,,,,,,
-264459842#1,,,,,,,,
-301494971#0,,,,,,,,
33626782,,,,,,,,
89213772#7,,,,,,,,
48391175#1,,,,,,,,
52517547#1,,,,,,,,
55686081#1,,,,,,,,
41519033#2,,,,,,,,
89206669,,,,,,,,
237528239#0,,,,,,,,
-91216434#1,,,,,,,,
1042122375#5,,,,,,,,
-458283475#1,,,,,,,,
193618812#4,,,,,,,,
89430685#2,,,,,,,,
-91854877#0,,,,,,,,
682712374#4,,,,,,,,
-91854885#0,,,,,,,,
-364080011#0,,,,,,,,
91854875#0,,,,,,,,
89219852#0,,,,,,,,
301494971#2,,,,,,,,
24060958#15,,,,,,,,
43991628#1,,,,,,,,
43550256,,,,,,,,
364080011#3,,,,,,,,
-89419986#3,,,,,,,,
-141597712,,,,,,,,
458842531#0,,,,,,,,
24024045#14,,,,,,,,
91854865#0,,,,,,,,
682262115#6,,,,,,,,
199311794#19,,,,,,,,
89216424#0,,,,,,,,
1042122375#8,,,,,,,,
-89420436#1,,,,,,,,
509241395#0,,,,,,,,
-1039902221#2,,,,,,,,
32122590,,,,,,,,
-154093154,,,,,,,,
34998006#0,,,,,,,,
43550983#0,,,,,,,,
24024042#0,,,,,,,,
1301094954#1,,,,,,,,
509241395#3,,,,,,,,
199311794#13,,,,,,,,
-35777909#5,,,,,,,,
264459843#0,,,,,,,,
-463284095#1,,,,,,,,
193618812#6,,,,,,,,
1119110193#0,,,,,,,,
89418355#0,,,,,,,,
32812356#5,,,,,,,,
264459853#0,,,,,,,,
1042122374,,,,,,,,
41519045#2,,,,,,,,
-89419196#0,,,,,,,,
89206671#1,,,,,,,,
-33627771#1,,,,,,,,
41519038#2,,,,,,,,
1054774756#0,,,,,,,,
91686849#0,,,,,,,,
-95399107#0,,,,,,,,
-683454879#2,,,,,,,,
-314210314#1,,,,,,,,
89240082#0,,,,,,,,
570457257#0,,,,,,,,
1042122375#0,,,,,,,,
53156654#0,,,,,,,,
254326632#1,,,,,,,,
52517546#1,,,,,,,,
89430681#1,,,,,,,,
178757944#0,,,,,,,,
199311757#1,,,,,,,,
172011556,,,,,,,,
-264459843#10,,,,,,,,
58706164#3,,,,,,,,
89419202#0,,,,,,,,
-89417144#1,,,,,,,,
199311798#0,,,,,,,,
91854885#1,,,,,,,,
587067865#1,,,,,,,,
-23260462#3,,,,,,,,
32130055#2,,,,,,,,
265271590#0,,,,,,,,
-89234087#1,,,,,,,,
-170598717#0,,,,,,,,
75259453#0,,,,,,,,
34950625#4,,,,,,,,
314210316#0,,,,,,,,
1127706328#0,,,,,,,,
24989774#1,,,,,,,,
-72463466#1,,,,,,,,
47072157#1,,,,,,,,
-156642443#1,,,,,,,,
43991628#0,,,,,,,,
89430684#1,,,,,,,,
264459842#4,,,,,,,,
86867128#2,,,,,,,,
33625005#5,,,,,,,,
531013210#1,,,,,,,,
580672559#3,,,,,,,,
-23443416#0,,,,,,,,
1039902220#0,,,,,,,,
41519045#0,,,,,,,,
-34950844#5,,,,,,,,
89418360,,,,,,,,
328531802#15,,,,,,,,
193618812#0,,,,,,,,
58706164#2,,,,,,,,
34950728#0,,,,,,,,
866351232#1,,,,,,,,
-536520674,,,,,,,,
33549498#1,,,,,,,,
75259451#0,,,,,,,,
72463458#6,,,,,,,,
89430678#2,,,,,,,,
543054885#2,,,,,,,,
91730169#0,,,,,,,,
753544147#1,,,,,,,,
33640794#6,,,,,,,,
301494971#1,,,,,,,,
46982301#1,,,,,,,,
33627853#0,,,,,,,,
89419986#2,,,,,,,,
-458283475#7,,,,,,,,
-543054883,,,,,,,,
178757956#0,,,,,,,,
328531802#10,,,,,,,,
-89420434,,,,,,,,
47072156,,,,,,,,
-52518334#2,,,,,,,,
34951229#0,,,,,,,,
-91854874,,,,,,,,
34949380#4,,,,,,,,
89430676#1,,,,,,,,
-1039905092#0,,,,,,,,
-264459843#7,,,,,,,,
682712374#3,,,,,,,,
33118876#0,,,,,,,,
736550490#0,,,,,,,,
220470666#1,,,,,,,,
220470668#0,,,,,,,,
91854853#2,,,,,,,,
85568120#0,,,,,,,,
264459845#0,,,,,,,,
1021351340#2,,,,,,,,
-55686195#4,,,,,,,,
-91854870#0,,,,,,,,
41260712#2,,,,,,,,
576811475#0,,,,,,,,
552744245,,,,,,,,
254326632#7,,,,,,,,
593986983,,,,,,,,
89419987#0,,,,,,,,
686373007,,,,,,,,
31887159,,,,,,,,
-24060958#17,,,,,,,,
458673382#4,,,,,,,,
41260712#0,,,,,,,,
-1144431725,,,,,,,,
-458842531#2,,,,,,,,
23260460#2,,,,,,,,
-254326644#0,,,,,,,,
562912001#4,,,,,,,,
572864358#0,,,,,,,,
254326649,,,,,,,,
254326654#4,,,,,,,,
-264459843#1,,,,,,,,
91854839#1,,,,,,,,
-89418355#0,,,,,,,,
918334710#0,,,,,,,,
91216434#2,,,,,,,,
48391239#2,,,,,,,,
254326623#0,,,,,,,,
264459825#5,,,,,,,,
-866351232#3,,,,,,,,
544812705#2,,,,,,,,
48788423#1,,,,,,,,
23260460#3,,,,,,,,
-89240082#1,,,,,,,,
81606324#4,,,,,,,,
1177605681#4,,,,,,,,
328531828#5,,,,,,,,
48391175#3,,,,,,,,
-46982284#1,,,,,,,,
-181579907,,,,,,,,
33656107#0,,,,,,,,
91854880,,,,,,,,
460851984#5,,,,,,,,
24024046#2,,,,,,,,
544340290,,,,,,,,
24060958#4,,,,,,,,
-172011556,,,,,,,,
170598717#1,,,,,,,,
254326632#4,,,,,,,,
-254326644#2,,,,,,,,
653717627#0,,,,,,,,
-89419202#0,,,,,,,,
-254326631#1,,,,,,,,
542264756#2,,,,,,,,
956159236,,,,,,,,
-24060958#14,,,,,,,,
89419992#0,,,,,,,,
277789325#3,,,,,,,,
458673382#6,,,,,,,,
580672559#2,,,,,,,,
581953131#1,,,,,,,,
89430674,,,,,,,,
254325082,,,,,,,,
682262115#3,,,,,,,,
91854811,,,,,,,,
-1039902220#2,,,,,,,,
265271575#0,,,,,,,,
-82624905#0,,,,,,,,
254326637#4,,,,,,,,
682262114#0,,,,,,,,
-543054885#3,,,,,,,,
23443416#2,,,,,,,,
-458842531#8,,,,,,,,
648175930,,,,,,,,
-89420431#0,,,,,,,,
33118881#2,,,,,,,,
254326626#0,,,,,,,,
72463457,,,,,,,,
-75259451#1,,,,,,,,
265271590#2,,,,,,,,
228766720#2,,,,,,,,
-458283475#9,,,,,,,,
91534582,,,,,,,,
91854864,,,,,,,,
85568120#8,,,,,,,,
552131809#1,,,,,,,,
264459842#2,,,,,,,,
91848828,,,,,,,,
199311782#0,,,,,,,,
-55686195#2,,,,,,,,
91854885#2,,,,,,,,
-301494971#1,,,,,,,,
-1133878589#4,,,,,,,,
81606325#1,,,,,,,,
48391166#1,,,,,,,,
33118876#1,,,,,,,,
-254325089#1,,,,,,,,
199311798#5,,,,,,,,
89419740,,,,,,,,
199311782#4,,,,,,,,
41937512#1,,,,,,,,
-665999473,,,,,,,,
-545973314,,,,,,,,
47072157#0,,,,,,,,
55686075#3,,,,,,,,
-365354843,,,,,,,,
-72463458#2,,,,,,,,
91854831,,,,,,,,
301494972#0,,,,,,,,
-91854853#2,,,,,,,,
447922896,,,,,,,,
91854875#2,,,,,,,,
542264756#3,,,,,,,,
89240074#0,,,,,,,,
32812345#0,,,,,,,,
571930272,,,,,,,,
34951053#0,,,,,,,,
542264756#0,,,,,,,,
584343267#0,,,,,,,,
254325084#0,,,,,,,,
53156654#1,,,,,,,,
517921702#1,,,,,,,,
91854853#0,,,,,,,,
41519033#4,,,,,,,,
-75259451#3,,,,,,,,
265271584#0,,,,,,,,
34998006#9,,,,,,,,
1042122375#1,,,,,,,,
-32812321,,,,,,,,
-75259451#5,,,,,,,,
-463284093#0,,,,,,,,
237528239#4,,,,,,,,
91854866,,,,,,,,
91017767#2,,,,,,,,
258303760#0,,,,,,,,
-254326649,,,,,,,,
-265271589,,,,,,,,
81606324#5,,,,,,,,
-34951246,,,,,,,,
91854859,,,,,,,,
46982274#2,,,,,,,,
280266451#3,,,,,,,,
196314946,,,,,,,,
149415584,,,,,,,,
89234350#2,,,,,,,,
-918334710#1,,,,,,,,
264459842#0,,,,,,,,
89419198,,,,,,,,
-254326623#0,,,,,,,,
81606324#2,,,,,,,,
543209655#2,,,,,,,,
-516537246,,,,,,,,
199311794#4,,,,,,,,
-23260460#3,,,,,,,,
254325088,,,,,,,,
332390573#1,,,,,,,,
91216434#1,,,,,,,,
-89828152#1,,,,,,,,
-570457257#2,,,,,,,,
32812366#3,,,,,,,,
91854885#0,,,,,,,,
-217860244,,,,,,,,
254326637#0,,,,,,,,
22720674#0,,,,,,,,
-89418356#1,,,,,,,,
32122515#3,,,,,,,,
-55686075#2,,,,,,,,
277789325#6,,,,,,,,
-24060958#4,,,,,,,,
-170598717#1,,,,,,,,
52517546#0,,,,,,,,
89419986#3,,,,,,,,
91854885#4,,,,,,,,
-653717627#1,,,,,,,,
141597712,,,,,,,,
199311794#0,,,,,,,,
328531790#3,,,,,,,,
23753878#0,,,,,,,,
1133878589#0,,,,,,,,
89420436#1,,,,,,,,
89419989,,,,,,,,
89206672#2,,,,,,,,
34949380#6,,,,,,,,
1039902221#0,,,,,,,,
292495150#1,,,,,,,,
-33118881#1,,,,,,,,
154093154,,,,,,,,
89185075#5,,,,,,,,
-1104675206,,,,,,,,
540722039,,,,,,,,
33050418#2,,,,,,,,
89419990#0,,,,,,,,
503056675,,,,,,,,
35777909#1,,,,,,,,
958537535#6,,,,,,,,
-89430674,,,,,,,,
463284095#0,,,,,,,,
328531790#7,,,,,,,,
264459821#0,,,,,,,,
89419196#0,,,,,,,,
89213772#6,,,,,,,,
33640794#8,,,,,,,,
254326637#5,,,,,,,,
683454879#0,,,,,,,,
542264756#4,,,,,,,,
24060958#2,,,,,,,,
1019987802#3,,,,,,,,
89430685#3,,,,,,,,
34950625#3,,,,,,,,
89418364#1,,,,,,,,
-23260462#4,,,,,,,,
-33118881#2,,,,,,,,
682262118#0,,,,,,,,
471186044,,,,,,,,
34950625#2,,,,,,,,
47072152#1,,,,,,,,
89430672,,,,,,,,
446301624,,,,,,,,
23753878#1,,,,,,,,
-55686275,,,,,,,,
-91854864,,,,,,,,
-91534582,,,,,,,,
89430680#2,,,,,,,,
-141597714,,,,,,,,
89430678#0,,,,,,,,
264459843#10,,,,,,,,
-264459842#2,,,,,,,,
-199311782#1,,,,,,,,
-89420432#0,,,,,,,,
89417144#1,,,,,,,,
328531828#6,,,,,,,,
23260462#3,,,,,,,,
438080424#0,,,,,,,,
301494973#0,,,,,,,,
170598717#0,,,,,,,,
469105035#0,,,,,,,,
89430678#1,,,,,,,,
156642443#0,,,,,,,,
-217858092,,,,,,,,
517921702#3,,,,,,,,
471186043#0,,,,,,,,
682262115#0,,,,,,,,
328531825#2,,,,,,,,
23443416#0,,,,,,,,
956154645#0,,,,,,,,
-1133878590,,,,,,,,
199311798#2,,,,,,,,
34950844#4,,,,,,,,
-72463458#1,,,,,,,,
-89418355#1,,,,,,,,
49683444,,,,,,,,
89417153,,,,,,,,
-301494972#0,,,,,,,,
-447922896,,,,,,,,
-91854875#1,,,,,,,,
47127860#1,,,,,,,,
543209655#4,,,,,,,,
-85568111#0,,,,,,,,
-34951053#0,,,,,,,,
89216424#1,,,,,,,,
-1025830855#1,,,,,,,,
32812356#1,,,,,,,,
-543055421#1,,,,,,,,
-254326652#0,,,,,,,,
-91854853#0,,,,,,,,
52924701#0,,,,,,,,
-254325085,,,,,,,,
-265271584#0,,,,,,,,
48391166#0,,,,,,,,
32122517#1,,,,,,,,
-89430683#0,,,,,,,,
91848892,,,,,,,,
89185075#3,,,,,,,,
1042122375#3,,,,,,,,
682262110#3,,,,,,,,
460851984#1,,,,,,,,
277789325#0,,,,,,,,
95399107#1,,,,,,,,
47072155,,,,,,,,
-91854859,,,,,,,,
517927340#2,,,,,,,,
-24060958#12,,,,,,,,
1039905092#0,,,,,,,,
701150074,,,,,,,,
-196314946,,,,,,,,
89430686#1,,,,,,,,
-254325088,,,,,,,,
55686195#4,,,,,,,,
681548654#1,,,,,,,,
91854870#0,,,,,,,,
254326646#2,,,,,,,,
220470666#0,,,,,,,,
23260460#4,,,,,,,,
-91854885#4,,,,,,,,
562912001#3,,,,,,,,
48391175#2,,,,,,,,
85568120#6,,,,,,,,
193618812#7,,,,,,,,
-1133878589#1,,,,,,,,
254326644#0,,,,,,,,
574761079,,,,,,,,
48788423#0,,,,,,,,
264459839#1,,,,,,,,
85568120#5,,,,,,,,
149415589,,,,,,,,
531013210#2,,,,,,,,
41519033#0,,,,,,,,
